# BLAT 36 [2009/02/26]
# Query: HLA-A
# Database: 1_homologies/genome_contigs.fasta
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
HLA-A	chr6	100.00	6625	0	0	1	6625	29940260	29946884	0.0e+00	13001.0
HLA-A	chr6	92.77	802	58	0	415	1216	29885872	29886673	0.0e+00	1377.0
HLA-A	chr6	90.87	657	60	0	424	1080	29790350	29791006	0.0e+00	1076.0
HLA-A	chr6	95.68	556	24	0	3871	4426	29889337	29889892	1.8e-299	1024.0
HLA-A	chr6	92.19	589	46	0	4429	5017	29889893	29890481	1.0e-295	1011.0
HLA-A	chr6	92.71	480	35	0	2944	3423	29888402	29888881	8.6e-243	836.0
HLA-A	chr6	91.52	460	39	0	3698	4157	31270650	31270191	5.9e-225	776.0
HLA-A	chr6	87.40	492	62	0	2314	2805	30489542	30490033	9.0e-219	756.0
HLA-A	chr6	91.74	460	38	0	5460	5919	29890920	29891379	2.7e-217	751.0
HLA-A	chr6	85.46	502	73	0	2301	2802	29723461	29723962	1.1e-212	736.0
HLA-A	chr6	89.40	453	48	0	2939	3391	31271418	31270966	5.7e-211	730.0
HLA-A	chr6	89.98	439	44	0	4612	5050	29830190	29830628	1.4e-206	715.0
HLA-A	chr6	90.26	431	42	0	2425	2855	31357030	31356600	2.2e-202	701.0
HLA-A	chr6	90.89	417	38	0	4612	5028	30008957	30009373	2.2e-200	695.0
HLA-A	chr6	91.02	401	36	0	3753	4153	31355702	31355302	2.5e-194	675.0
HLA-A	chr6	91.32	357	31	0	2939	3295	31356512	31356156	2.0e-171	599.0
HLA-A	chr6	93.62	345	22	0	5524	5868	30009869	30010213	4.3e-170	594.0
HLA-A	chr6	84.13	397	63	0	3734	4130	29896522	29896918	1.8e-164	575.0
HLA-A	chr6	91.45	339	29	0	5489	5827	29830996	29831334	1.4e-159	559.0
HLA-A	chr6	90.97	321	29	0	2301	2621	31272065	31271745	2.2e-152	535.0
HLA-A	chr6	93.29	298	20	0	5460	5757	29929674	29929971	1.3e-144	509.0
HLA-A	chr6	92.62	298	22	0	5928	6225	29891389	29891686	5.5e-143	504.0
HLA-A	chr6	91.58	297	25	0	5924	6220	29931081	29931377	3.1e-136	482.0
HLA-A	chr6	87.94	257	31	0	4198	4454	31355266	31355010	8.9e-116	414.0
HLA-A	chr6	92.51	187	14	0	1	187	29885437	29885623	1.2e-88	324.0
HLA-A	chr6	93.51	185	12	0	5052	5236	29929262	29929446	4.8e-87	318.0
HLA-A	chr6	89.50	181	19	0	4363	4543	29725568	29725748	1.8e-79	293.0
HLA-A	chr6	92.62	149	11	0	4213	4361	29725419	29725567	1.1e-69	261.0
HLA-A	chr6	90.20	153	15	0	3697	3849	31462332	31462180	2.6e-68	256.0
HLA-A	chr6	86.23	167	23	0	4206	4372	29801627	29801793	3.7e-68	255.0
HLA-A	chr6	91.85	135	11	0	66	200	121328583	121328449	1.6e-61	233.0
HLA-A	chr6	91.85	135	11	0	66	200	167658856	167658722	1.3e-60	230.0
HLA-A	chr6	88.89	135	15	0	66	200	31524655	31524521	2.5e-57	220.0
HLA-A	chr6	94.17	120	7	0	66	185	158455373	158455254	9.6e-57	218.0
HLA-A	chr6	94.12	119	7	0	67	185	135914787	135914669	1.1e-55	214.0
HLA-A	chr6	92.62	122	9	0	64	185	29364515	29364636	2.2e-55	213.0
HLA-A	chr6	91.87	123	10	0	63	185	29339640	29339762	3.8e-55	212.0
HLA-A	chr6	91.67	120	10	0	66	185	31834262	31834143	7.3e-54	208.0
HLA-A	chr6	87.79	131	16	0	70	200	31597734	31597604	1.4e-52	204.0
HLA-A	chr6	90.83	120	11	0	66	185	31481981	31481862	1.5e-52	204.0
HLA-A	chr6	85.19	135	20	0	66	200	29651205	29651339	2.0e-52	203.0
HLA-A	chr6	89.26	121	13	0	68	188	28896121	28896001	6.1e-52	202.0
HLA-A	chr6	91.53	118	10	0	3571	3688	31462475	31462358	1.1e-51	201.0
HLA-A	chr6	90.00	120	12	0	66	185	29579159	29579278	1.5e-51	200.0
HLA-A	chr6	89.17	120	13	0	66	185	29856738	29856857	7.2e-51	198.0
HLA-A	chr6	89.17	120	13	0	66	185	29672007	29672126	1.8e-50	197.0
HLA-A	chr6	89.26	121	13	0	4612	4732	29725823	29725943	2.3e-50	196.0
HLA-A	chr6	90.52	116	11	0	66	181	29799184	29799299	4.1e-50	196.0
HLA-A	chr6	88.33	120	14	0	66	185	29428474	29428593	4.1e-50	196.0
HLA-A	chr6	89.17	120	13	0	66	185	29652523	29652642	5.2e-50	195.0
HLA-A	chr6	87.70	122	15	0	64	185	29660238	29660359	7.2e-49	191.0
HLA-A	chr6	86.67	120	16	0	66	185	30484733	30484852	2.0e-48	190.0
HLA-A	chr6	88.29	111	13	0	4705	4815	30492309	30492419	1.9e-44	177.0
HLA-A	chr6	91.00	100	9	0	4926	5025	31382337	31382238	9.5e-42	168.0
HLA-A	chr6	86.61	112	15	0	5071	5182	29726283	29726394	7.3e-41	165.0
HLA-A	chr6	89.42	104	11	0	6296	6399	31353255	31353152	1.1e-40	164.0
HLA-A	chr6	88.89	99	11	0	4739	4837	29725950	29726048	2.9e-38	156.0
HLA-A	chr6	88.89	90	10	0	4937	5026	29726141	29726230	5.8e-34	142.0
HLA-A	chr6	90.24	82	8	0	207	288	28895977	28895896	6.5e-33	138.0
HLA-A	chr6	74.80	127	32	0	240	366	158351840	158351714	4.5e-31	132.0
HLA-A	chr6	84.21	76	12	0	4839	4914	29726049	29726124	3.6e-25	113.0
HLA-A	chr6	91.18	68	6	0	299	366	135914556	135914489	9.6e-25	111.0
HLA-A	chr6	91.18	68	6	0	299	366	120998238	120998171	9.6e-25	111.0
HLA-A	chr6	88.24	68	8	0	299	366	167658621	167658554	3.5e-23	106.0
HLA-A	chr6	90.32	62	6	0	1	62	29790237	29790298	1.2e-22	104.0
HLA-A	chr6	98.00	50	1	0	4562	4611	29725770	29725819	3.5e-20	96.0
HLA-A	chr6	92.45	53	4	0	66	118	29676256	29676308	6.0e-20	95.0
HLA-A	chr6	88.89	54	6	0	1	54	29825512	29825565	7.1e-18	88.0
HLA-A	chr6	95.56	45	2	0	5185	5229	29726396	29726440	1.1e-15	81.0
HLA-A	chr6	84.85	33	5	0	264	296	30484936	30484968	2.3e-05	47.0
HLA-A	chr6	100.00	20	0	0	212	231	135914640	135914621	2.9e-03	40.0
